Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR160098513730928640,MJ FOR TEXAS,"FEC ID PO Box 7156 Round Rock, TX 78683",US,US-Federal,5,500,450,35750,875,3300,12000,3500,142500,1900,2100,4500,400
AR160260416818118656,PAC FOR A CHANGE,FEC ID C00342048,US,US-Federal,5,24400,21500,1731250,42475,161400,559000,162000,6952500,93300,103275,226500,18550
AR16026481486462976,GALEOTOS FOR GOVERNOR INC.,EIN ID 82-4377805,US,US-Federal,2,800,700,57000,1400,5300,18000,5500,232500,3100,3375,7500,600
AR160915725748273152,DOUG MAYS FOR CONGRESS,FEC ID C00678516,US,US-Federal,5,0,0,1750,50,200,1000,0,7500,100,75,0,0
AR161661194631905280,NO LABELS ACTION INC,EIN ID 83-0880264,US,US-Federal,7,2900,2550,203500,5000,19000,66000,19000,817500,11000,12150,26250,2200
AR161795335050493952,POLIS FOR COLORADO,EIN ID 82-1781651,US,US-Federal,206,144100,126800,10218500,250750,952500,3297000,957000,41017500,550500,609600,1335750,109500
AR164198867468812288,"PLANNED PARENTHOOD ACTION FUND, INC.",EIN ID 13-3539048,US,US-Federal,1,44400,39100,3151000,77325,293700,1017000,295000,12652500,169700,187950,411750,33750
AR164284079619964928,GRAFTET MICHAŁ TETERYCZ,,"EU, PL",EU-Parliament,33,1100,950,76000,1875,7100,25000,7000,307500,4100,4500,9750,800
AR164590293608300544,TED DEUTCH FOR CONGRESS COMMITTEE,FEC ID C00469163,US,US-Federal,4,1500,1300,104250,2550,9700,34000,10000,420000,5600,6225,13500,1100
AR164999311933833216,FRIENDS OF DUSTY JOHNSON,FEC ID C00628917,US,US-Federal,15,2700,2350,191250,4700,17800,62000,18000,765000,10300,11400,24750,2050
AR165282436177985536,MuSlate Online Services OPC PVT LTD,,IN,IN-General,19,300,250,20750,500,1900,7000,2000,82500,1100,1200,3000,200
